Time           CRC Message
20 17:04:45.795 B  01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 51 EC 00 00 00 00 43 4F 40 4A 43 4F 40 4A 00 00 00 00 68 D5 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:45.986 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 59 9A 00 00 00 00 43 4F 46 F0 43 4F 46 F0 00 00 00 00 5E 08 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:46.179 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 47 AE 00 00 00 00 43 4F 37 6B 43 4F 37 6B 00 00 00 00 8D 0D 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:46.699 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 57 0A 00 00 00 00 43 4F 44 B8 43 4F 44 B8 00 00 00 00 46 EB 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 63 D7 00 00 00 00 43 4F 4F CE 43 4F 4F CE 00 00 00 00 36 88 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 75 C3 00 00 00 00 43 4F 5F 53 43 4F 5F 53 00 00 00 00 87 8F 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:47.260 B  5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 75 C3 00 00 00 00 43 4F 5F 53 43 4F 5F 53 00 00 00 00 87 8F 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 73 33 00 00 00 00 43 4F 5D 1B 43 4F 5D 1B 00 00 00 00 35 10 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 73 33 00 00 00 00 43 4F 5D 1B 43 4F 5D 1B 00 00 00 00 35 10 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 
20 17:04:47.318 B  00 00 5E F1 
20 17:04:47.508 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 87 AE 00 00 00 00 43 4F 6E D8 43 4F 6E D8 00 00 00 00 4A 7B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:48.028 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 85 1F 00 00 00 00 43 4F 6C A0 43 4F 6C A0 00 00 00 00 CD 94 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 87 AE 00 00 00 00 43 4F 6E D8 43 4F 6E D8 00 00 00 00 4A 7B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 78 52 00 00 00 00 43 4F 61 8B 43 4F 61 8B 00 00 00 00 97 5F 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:48.589 B  5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 85 1F 00 00 00 00 43 4F 6C A0 43 4F 6C A0 00 00 00 00 CD 94 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 87 AE 00 00 00 00 43 4F 6E D8 43 4F 6E D8 00 00 00 00 4A 7B 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 8F 5C 00 00 00 00 43 4F 75 7E 43 4F 75 7E 00 00 00 00 85 6F 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 
20 17:04:48.647 B  00 00 5E F1 
20 17:04:48.835 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 8A 3D 00 00 00 00 43 4F 71 0F 43 4F 71 0F 00 00 00 00 B8 24 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:49.029 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 82 8F 00 00 00 00 43 4F 6A 68 43 4F 6A 68 00 00 00 00 26 A0 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
20 17:04:49.548 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 6B 85 00 00 00 00 43 4F 56 75 43 4F 56 75 00 00 00 00 58 C4 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 5E B8 00 00 00 00 43 4F 4B 5F 43 4F 4B 5F 00 00 00 00 AA DF 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 68 F6 00 00 00 00 43 4F 54 3D 43 4F 54 3D 00 00 00 00 6B 8E 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 
20 17:04:50.110 B  5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 73 33 00 00 00 00 43 4F 5D 1B 43 4F 5D 1B 00 00 00 00 35 10 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 66 66 00 00 00 00 43 4F 52 05 43 4F 52 05 00 00 00 00 17 35 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 7A E1 00 00 00 00 43 4F 63 C2 43 4F 63 C2 00 00 00 00 95 85 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 
20 17:04:50.167 B  00 00 5E F1 
20 17:04:50.356 B  01 03 00 08 00 14 C4 07 01 03 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 6F 82 8F 00 00 00 00 43 4F 6A 68 43 4F 6A 68 00 00 00 00 26 A0 01 03 00 38 00 0A 44 00 01 03 14 00 00 00 00 00 00 00 00 3F 80 00 00 00 00 00 00 00 00 00 00 5E F1 
